bilmerke;alder;Registrerte personbiler 2019;Registrerte varebiler 2019
Bygg bil;4 - 7 år;0;0
Bygg bil;8 - 11 år;0;0
Bygg bil;12 - 15 år;0;0
Bygg bil;16 - 20 år;0;0
Bygg bil;Over 20 år;0;0
Cabby;Under 4 år;0;0
Cabby;4 - 7 år;0;0
Cabby;8 - 11 år;0;0
Cabby;12 - 15 år;0;5
Cabby;16 - 20 år;0;0
Cabby;Over 20 år;0;0
Cabro;Under 4 år;0;0
Cabro;4 - 7 år;0;0
Cabro;8 - 11 år;0;0
Cabro;12 - 15 år;0;0
Cabro;16 - 20 år;0;0
Cabro;Over 20 år;0;0
Cadillac;Under 4 år;9;13
Cadillac;4 - 7 år;28;9
Cadillac;8 - 11 år;31;17
Cadillac;12 - 15 år;144;22
Cadillac;16 - 20 år;51;14
Cadillac;Over 20 år;2240;7
Capron;Under 4 år;0;0
Capron;4 - 7 år;0;0
Capron;8 - 11 år;0;5
Capron;12 - 15 år;1;69
Capron;16 - 20 år;0;0
Capron;Over 20 år;0;0
Carbodies;Under 4 år;0;0
Carbodies;4 - 7 år;0;0
Carbodies;8 - 11 år;0;0
Carbodies;12 - 15 år;0;0
Carbodies;16 - 20 år;0;0
Carbodies;Over 20 år;1;0
Case;Under 4 år;0;0
Case;4 - 7 år;0;0
Case;8 - 11 år;0;0
Case;12 - 15 år;0;0
Case;16 - 20 år;0;0
Case;Over 20 år;1;0
Caterham;Under 4 år;1;0
Caterham;4 - 7 år;0;0
Caterham;8 - 11 år;2;0
Caterham;12 - 15 år;10;0
Caterham;16 - 20 år;18;0
Caterham;Over 20 år;48;0
Cav;Under 4 år;0;0
Cav;4 - 7 år;0;0
Cav;8 - 11 år;0;0
Cav;12 - 15 år;0;0
Cav;16 - 20 år;0;0
Cav;Over 20 år;1;0
Challenger;Under 4 år;0;0
Challenger;4 - 7 år;0;0
Challenger;8 - 11 år;0;3
Challenger;12 - 15 år;2;559
Challenger;16 - 20 år;1;111
Challenger;Over 20 år;0;1
Chateau;Under 4 år;0;0
Chateau;4 - 7 år;0;0
Chateau;8 - 11 år;0;0
Chateau;12 - 15 år;0;3
Chateau;16 - 20 år;0;0
Chateau;Over 20 år;0;0
Chausson;Under 4 år;0;0
Chausson;4 - 7 år;0;0
Chausson;8 - 11 år;0;0
Chausson;12 - 15 år;0;11
Chausson;16 - 20 år;0;50
Chausson;Over 20 år;0;0
Chery;Under 4 år;1;0
Chery;4 - 7 år;0;0
Chery;8 - 11 år;0;0
Chery;12 - 15 år;0;0
Chery;16 - 20 år;0;0
Chery;Over 20 år;0;0
Chevrolet;Under 4 år;217;269
Chevrolet;4 - 7 år;1135;337
Chevrolet;8 - 11 år;578;226
Chevrolet;12 - 15 år;2192;298
Chevrolet;16 - 20 år;3178;579
Chevrolet;Over 20 år;12372;1587
Chevrolet Daewoo;Under 4 år;0;0
Chevrolet Daewoo;4 - 7 år;0;0
Chevrolet Daewoo;8 - 11 år;0;0
Chevrolet Daewoo;12 - 15 år;1;0
Chevrolet Daewoo;16 - 20 år;0;0
Chevrolet Daewoo;Over 20 år;0;0
Chrysler;Under 4 år;11;12
Chrysler;4 - 7 år;10;20
Chrysler;8 - 11 år;99;26
Chrysler;12 - 15 år;733;192
Chrysler;16 - 20 år;1169;102
Chrysler;Over 20 år;1593;57
Chrysler France;Under 4 år;0;0
Chrysler France;4 - 7 år;0;0
Chrysler France;8 - 11 år;0;0
Chrysler France;12 - 15 år;0;0
Chrysler France;16 - 20 år;0;0
Chrysler France;Over 20 år;0;0
Chrysler Uk;Under 4 år;0;0
Chrysler Uk;4 - 7 år;0;0
Chrysler Uk;8 - 11 år;0;0
Chrysler Uk;12 - 15 år;0;0
Chrysler Uk;16 - 20 år;0;0
Chrysler Uk;Over 20 år;0;0
Ci Europa;Under 4 år;0;0
Ci Europa;4 - 7 år;0;0
Ci Europa;8 - 11 år;0;0
Ci Europa;12 - 15 år;0;0
Ci Europa;16 - 20 år;0;1
Ci Europa;Over 20 år;0;0
Citroen;Under 4 år;5150;5951
Citroen;4 - 7 år;8999;7108
Citroen;8 - 11 år;12539;9243
Citroen;12 - 15 år;7789;5454
Citroen;16 - 20 år;4798;1883
Citroen;Over 20 år;2228;511
Colt;Under 4 år;0;0
Colt;4 - 7 år;0;0
Colt;8 - 11 år;0;0
Colt;12 - 15 år;0;0
Colt;16 - 20 år;0;0
Colt;Over 20 år;27;0
Commer;Under 4 år;0;0
Commer;4 - 7 år;0;0
Commer;8 - 11 år;0;0
Commer;12 - 15 år;0;0
Commer;16 - 20 år;0;0
Commer;Over 20 år;13;24
Concorde;Under 4 år;0;0
Concorde;4 - 7 år;0;0
Concorde;8 - 11 år;0;0
Concorde;12 - 15 år;0;1
Concorde;16 - 20 år;0;0
Concorde;Over 20 år;0;0
Contemporary Classic;Under 4 år;0;0
Contemporary Classic;4 - 7 år;0;0
Contemporary Classic;8 - 11 år;0;0
Contemporary Classic;12 - 15 år;0;0
Contemporary Classic;16 - 20 år;0;0
Contemporary Classic;Over 20 år;2;0
Cuby;Under 4 år;7;0
